Number,Title,Yardage,Description,TSS,Duration
5,Speed and Power #2,3000,"**Warm Up**
-  500 as: - 200 Swim @50–70% - 3x25 Kick – Take 5s - 100 Pull @60–70% - 3x25 FAST Swim – Take 5–10s
**Drill Set**
•  5x50 as 25 Front Scull / 25 Swim – Take 5–10s
**Pre-Set**
•  500 Swim as 100H/100E, 75H/75E, 50H/50E, 25H/25E
**Main Set**
•  14x50 Swim in :43 (5%) on 1:00 7x25 Swim in :20 (10%) on :35 2x100 Swim in 1:30 (CS) on 1:40 200 Swim in 3:03–3:06 (Z2) on 3:20 10x50 Swim in :43 (5%) on 1:00
**Cool Down**
•  3x25 Scull – Take 5s 100 Choice

**Total: 3,499 yards (3,200 meters)**

**Total: 3000 yards**",60,3600
5,Speed and Power #2,3500,"**Warm-Up**
  -  500 as: - 200 Swim @50–70% - 4x25 Kick – Take 5s - 100 Pull @60–70% - 4x25 FAST Swim – Take 5–10s 
**Drill Set**
•  6x50 as 25 Front Scull / 25 Swim – Take 5–10s 
**Pre-Set**
•  500 Swim as 100H/100E, 75H/75E, 50H/50E, 25H/25E 
**Main Set**
•  16x50 Swim in :43 (5%) on 1:00 8x25 Swim in :20 (10%) on :35 2x100 Swim in 1:30 (CS) on 1:40 200 Swim in 3:03–3:06 (Z2) on 3:20 12x50 Swim in :43 (5%) on 1:00 
**Cool-Down**
•  4x25 Scull – Take 5s 100 Choice

**Total: 3,499 yards (3,200 meters)**",70,4200
7,Endurance Build #3,2000,"**Warm Up**
-  500 as: - 300 Swim @50-60% - 2x25 Kick - Take 5-10s - 2x25 Swim as 12.5 HARD / 12.5 EASY - Take 5-10s
**Drill Set**
•  - Take 5-10s after each 50 3x50 as: - ODDS: Catch-Up Drill - EVENS: 6-Kick Switch Drill
**Pre-Set**
•  500 Pull/Paddles as 100H/100E, 75H/75E, 50H/50E, 25H/25E
**Main Set**
•  3x400 - Take 15-20s after each, as: #1 - @70% br3 #2 - in 6:06–6:11 (Z2) #3 - @70% br3 #4 - in 5:59–6:04 (CS) #5 - Paddles @70% br3
**Cool Down**
•  2x25 Catch-Up Drill - Take 5s 100 Swim br 3/5/7/3 by 25

**Total: 3,499 yards (3,200 meters)**

**Total: 2000 yards**",40,2400
7,Endurance Build #3,2500,"**Warm Up**
-  500 as: - 300 Swim @50-60% - 3x25 Kick - Take 5-10s - 3x25 Swim as 12.5 HARD / 12.5 EASY - Take 5-10s
**Drill Set**
•  - Take 5-10s after each 50 4x50 as: - ODDS: Catch-Up Drill - EVENS: 6-Kick Switch Drill
**Pre-Set**
•  500 Pull/Paddles as 100H/100E, 75H/75E, 50H/50E, 25H/25E
**Main Set**
•  4x400 - Take 15-20s after each, as: #1 - @70% br3 #2 - in 6:06–6:11 (Z2) #3 - @70% br3 #4 - in 5:59–6:04 (CS) #5 - Paddles @70% br3
**Cool Down**
•  3x25 Catch-Up Drill - Take 5s 100 Swim br 3/5/7/3 by 25

**Total: 3,499 yards (3,200 meters)**

**Total: 2500 yards**",50,3000
7,Endurance Build #3,3000,"**Warm Up**
-  500 as: - 300 Swim @50-60% - 3x25 Kick - Take 5-10s - 3x25 Swim as 12.5 HARD / 12.5 EASY - Take 5-10s
**Drill Set**
•  - Take 5-10s after each 50 5x50 as: - ODDS: Catch-Up Drill - EVENS: 6-Kick Switch Drill
**Pre-Set**
•  500 Pull/Paddles as 100H/100E, 75H/75E, 50H/50E, 25H/25E
**Main Set**
•  4x400 - Take 15-20s after each, as: #1 - @70% br3 #2 - in 6:06–6:11 (Z2) #3 - @70% br3 #4 - in 5:59–6:04 (CS) #5 - Paddles @70% br3
**Cool Down**
•  3x25 Catch-Up Drill - Take 5s 100 Swim br 3/5/7/3 by 25

**Total: 3,499 yards (3,200 meters)**

**Total: 3000 yards**",60,3600
7,Endurance Build #3,3500,"**Warm-Up**
  -  500 as: - 300 Swim @50-60% - 4x25 Kick - Take 5-10s - 4x25 Swim as 12.5 HARD / 12.5 EASY - Take 5-10s 
**Drill Set**
•  - Take 5-10s after each 50 6x50 as: - ODDS: Catch-Up Drill - EVENS: 6-Kick Switch Drill 
**Pre-Set**
•  500 Pull/Paddles as 100H/100E, 75H/75E, 50H/50E, 25H/25E 
**Main Set**
•  5x400 - Take 15-20s after each, as: #1 - @70% br3 #2 - in 6:06–6:11 (Z2) #3 - @70% br3 #4 - in 5:59–6:04 (CS) #5 - Paddles @70% br3 
**Cool-Down**
•  4x25 Catch-Up Drill - Take 5s 100 Swim br 3/5/7/3 by 25

**Total: 3,499 yards (3,200 meters)**",70,4200
8,Speed and Power #3,2000,"**Warm Up**
-  500 as: - 200 Swim @50-70% - 2x25 Kick - Take 5s - 100 Pull @60-70% - 2x25 Swim, sight every 6 strokes - Take 5-10s
**Drill Set**
•  3x50 Swim - Take 10s, as: - ODDS: @70% br3 - EVENS: Build from 70% to 90%
**Pre-Set**
•  6x50 - Take 10-15s, as: - ODDS: Swim @70% w/ OVER-Kick - EVENS: Pull @70-80%
**Main Set**
•  2x300 Swim in 4:34–4:38 (Z2) on 4:50 2x200 Pull, as: - ODDS: @80% - EVENS: Negative split 3x50 Swim :43 (5%) on 1:00
**Cool Down**
•  1x50 EASY Swim br3 - Take 10s 100 Choice

**Total: 3,499 yards (3,200 meters)**

**Total: 2000 yards**",40,2400
8,Speed and Power #3,2500,"**Warm Up**
-  500 as: - 200 Swim @50-70% - 3x25 Kick - Take 5s - 100 Pull @60-70% - 3x25 Swim, sight every 6 strokes - Take 5-10s
**Drill Set**
•  4x50 Swim - Take 10s, as: - ODDS: @70% br3 - EVENS: Build from 70% to 90%
**Pre-Set**
•  7x50 - Take 10-15s, as: - ODDS: Swim @70% w/ OVER-Kick - EVENS: Pull @70-80%
**Main Set**
•  2x300 Swim in 4:34–4:38 (Z2) on 4:50 3x200 Pull, as: - ODDS: @80% - EVENS: Negative split 4x50 Swim :43 (5%) on 1:00
**Cool Down**
•  1x50 EASY Swim br3 - Take 10s 100 Choice

**Total: 3,499 yards (3,200 meters)**

**Total: 2500 yards**",50,3000
8,Speed and Power #3,3000,"**Warm Up**
-  500 as: - 200 Swim @50-70% - 3x25 Kick - Take 5s - 100 Pull @60-70% - 3x25 Swim, sight every 6 strokes - Take 5-10s
**Drill Set**
•  5x50 Swim - Take 10s, as: - ODDS: @70% br3 - EVENS: Build from 70% to 90%
**Pre-Set**
•  9x50 - Take 10-15s, as: - ODDS: Swim @70% w/ OVER-Kick - EVENS: Pull @70-80%
**Main Set**
•  3x300 Swim in 4:34–4:38 (Z2) on 4:50 3x200 Pull, as: - ODDS: @80% - EVENS: Negative split 5x50 Swim :43 (5%) on 1:00
**Cool Down**
•  2x50 EASY Swim br3 - Take 10s 100 Choice

**Total: 3,499 yards (3,200 meters)**

**Total: 3000 yards**",60,3600
8,Speed and Power #3,3500,"**Warm-Up**
  -  500 as: - 200 Swim @50-70% - 4x25 Kick - Take 5s - 100 Pull @60-70% - 4x25 Swim, sight every 6 strokes - Take 5-10s 
**Drill Set**
•  6x50 Swim - Take 10s, as: - ODDS: @70% br3 - EVENS: Build from 70% to 90% 
**Pre-Set**
•  10x50 - Take 10-15s, as: - ODDS: Swim @70% w/ OVER-Kick - EVENS: Pull @70-80% 
**Main Set**
•  3x300 Swim in 4:34–4:38 (Z2) on 4:50 4x200 Pull, as: - ODDS: @80% - EVENS: Negative split 6x50 Swim :43 (5%) on 1:00 
**Cool-Down**
•  2x50 EASY Swim br3 - Take 10s 100 Choice

**Total: 3,499 yards (3,200 meters)**",70,4200
